metric,value,year,method,n_clusters
nrmse dc,4.262665679420444,2012,medoids,16
rae dc,8.722469423045624,2012,medoids,16
correlation,0.012334540056933796,2013,medoids,16
nrmse dc,4.244216218073372,2013,medoids,16
rae dc,8.155580418853335,2013,medoids,16
correlation,0.011705332513677188,2014,medoids,16
nrmse dc,6.537201523954736,2014,medoids,16
rae dc,11.546621993346376,2014,medoids,16
correlation,0.02168263620355811,2015,medoids,16
nrmse dc,8.213004239249125,2015,medoids,16
rae dc,17.253935833740382,2015,medoids,16
correlation,0.023214663475472592,2016,medoids,16
nrmse dc,8.353636511759763,2016,medoids,16
rae dc,18.6630650405755,2016,medoids,16
correlation,0.012853684281111407,2008,medoids,32
nrmse dc,2.444733089752791,2008,medoids,32
rae dc,5.829038106737873,2008,medoids,32
correlation,0.01072851653286977,2009,medoids,32
nrmse dc,3.2339048721312458,2009,medoids,32
rae dc,6.399470746109809,2009,medoids,32
correlation,0.0018675347513038565,2010,medoids,32
nrmse dc,4.261899070367108,2010,medoids,32
rae dc,10.27771431782629,2010,medoids,32
correlation,0.008555292008855,2011,medoids,32
nrmse dc,4.395121724183215,2011,medoids,32
rae dc,8.658594573073477,2011,medoids,32
correlation,0.006329635526914346,2012,medoids,32
nrmse dc,4.3937608251134925,2012,medoids,32
rae dc,9.762360900972816,2012,medoids,32
correlation,0.009629985484928771,2013,medoids,32
nrmse dc,4.622787606974069,2013,medoids,32
rae dc,9.292343195956498,2013,medoids,32
correlation,0.004004232739067766,2014,medoids,32
nrmse dc,6.700066546893585,2014,medoids,32
rae dc,12.056898568698328,2014,medoids,32
correlation,0.014829663580848843,2015,medoids,32
nrmse dc,8.484088181046246,2015,medoids,32
rae dc,17.818424933747895,2015,medoids,32
correlation,0.013505898264990601,2016,medoids,32
nrmse dc,8.197931907805657,2016,medoids,32
rae dc,18.58897098977032,2016,medoids,32
correlation,0.012907713490645753,2008,medoids,48
nrmse dc,1.8384933994485257,2008,medoids,48
rae dc,3.3904465155672816,2008,medoids,48
correlation,0.011514783303662587,2009,medoids,48
nrmse dc,3.262353310205933,2009,medoids,48
rae dc,5.160324213915697,2009,medoids,48
correlation,0.008833156055361502,2010,medoids,48
nrmse dc,4.6792335769324875,2010,medoids,48
rae dc,11.40106637350776,2010,medoids,48
correlation,0.008609321218389346,2011,medoids,48
nrmse dc,4.075049400548802,2011,medoids,48
