,Method,Metric,n_clusters,value
2190,,$CE_{av}$,61,0.11242336105357137
2191,,$NRMSE_{av}$,61,18.011631221323047
2192,,$REE_{av}$,61,46.193801079730775
2205,,$CE_{av}$,2,0.10045130027156224
2206,,$NRMSE_{av}$,2,18.513354842216266
2207,,$REE_{av}$,2,46.954386903821785
2220,,$CE_{av}$,4,0.05762412131219478
2221,,$NRMSE_{av}$,4,17.281091512766405
2222,,$REE_{av}$,4,46.54336651986639
2235,,$CE_{av}$,8,0.05699217513882353
2236,,$NRMSE_{av}$,8,20.02970406194964
2237,,$REE_{av}$,8,52.496639043224704
2250,,$CE_{av}$,16,0.0915075339983787
2251,,$NRMSE_{av}$,16,22.20728293154592
2252,,$REE_{av}$,16,57.614980699979846
2265,,$CE_{av}$,32,0.10749650331862523
2266,,$NRMSE_{av}$,32,18.83572510217047
2267,,$REE_{av}$,32,50.07623135188307
2280,,$CE_{av}$,48,0.1124053322985962
2281,,$NRMSE_{av}$,48,18.110331958087176
2282,,$REE_{av}$,48,45.84207194998546
2295,,$CE_{av}$,61,0.11242336105357137
2296,,$NRMSE_{av}$,61,18.011631221323047
2297,,$REE_{av}$,61,46.193801079730775
2310,,$CE_{av}$,2,0.10045130027156224
2311,,$NRMSE_{av}$,2,18.513354842216266
2312,,$REE_{av}$,2,46.954386903821785
2325,,$CE_{av}$,4,0.05762412131219478
2326,,$NRMSE_{av}$,4,17.281091512766405
2327,,$REE_{av}$,4,46.54336651986639
2340,,$CE_{av}$,8,0.05699217513882353
2341,,$NRMSE_{av}$,8,20.02970406194964
2342,,$REE_{av}$,8,52.496639043224704
2355,,$CE_{av}$,16,0.0915075339983787
2356,,$NRMSE_{av}$,16,22.20728293154592
2357,,$REE_{av}$,16,57.614980699979846
2370,,$CE_{av}$,32,0.10749650331862523
2371,,$NRMSE_{av}$,32,18.83572510217047
2372,,$REE_{av}$,32,50.07623135188307
2385,,$CE_{av}$,48,0.1124053322985962
2386,,$NRMSE_{av}$,48,18.110331958087176
2387,,$REE_{av}$,48,45.84207194998546
2400,,$CE_{av}$,61,0.11242336105357137
2401,,$NRMSE_{av}$,61,18.011631221323047
2402,,$REE_{av}$,61,46.193801079730775
2415,,$CE_{av}$,2,0.10045130027156224
2416,,$NRMSE_{av}$,2,18.513354842216266
2417,,$REE_{av}$,2,46.954386903821785
2430,,$CE_{av}$,4,0.05762412131219478
2431,,$NRMSE_{av}$,4,17.281091512766405
2432,,$REE_{av}$,4,46.54336651986639
2445,,$CE_{av}$,8,0.05699217513882353
2446,,$NRMSE_{av}$,8,20.02970406194964
2447,,$REE_{av}$,8,52.496639043224704
2460,,$CE_{av}$,16,0.0915075339983787
2461,,$NRMSE_{av}$,16,22.20728293154592
2462,,$REE_{av}$,16,57.614980699979846
