metric,value,year,method,n_clusters
correlation,0.01652206678370823,2016,medoids,16
nrmse dc,6.674435562129591,2016,medoids,16
rae dc,14.70033710919528,2016,medoids,16
correlation,0.0030945706267972626,2012,medoids,32
nrmse dc,2.674019711073372,2012,medoids,32
rae dc,5.925075434287126,2012,medoids,32
correlation,0.0063949205848114294,2013,medoids,32
nrmse dc,3.0737334675161416,2013,medoids,32
rae dc,5.589827685319119,2013,medoids,32
correlation,0.0014371933246599318,2014,medoids,32
nrmse dc,5.012864967422517,2014,medoids,32
rae dc,7.897998449358229,2014,medoids,32
correlation,0.015727511516724173,2015,medoids,32
nrmse dc,6.960205681990533,2015,medoids,32
rae dc,14.208682195733578,2015,medoids,32
correlation,0.014403746200866152,2016,medoids,32
nrmse dc,6.597257186873517,2016,medoids,32
rae dc,14.254517362596966,2016,medoids,32
correlation,0.008622677797342493,2012,medoids,48
nrmse dc,3.3547496569680786,2012,medoids,48
rae dc,8.506791490134642,2012,medoids,48
correlation,0.001224186746771198,2013,medoids,48
nrmse dc,3.1027618138319606,2013,medoids,48
rae dc,6.437713971443903,2013,medoids,48
correlation,0.007857478180384589,2014,medoids,48
nrmse dc,5.385980054751652,2014,medoids,48
rae dc,10.381612662207958,2014,medoids,48
correlation,0.0091889088546796,2015,medoids,48
